danceability,energy,key,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,loudness,hit
0.511,0.566,6,0.2,0.349,0.0,0.34,0.218,83.903,239836,-7.23,0
0.68,0.578,10,0.04,0.331,0.0,0.135,0.341,145.038,231267,-5.804,1
0.897,0.662,1,0.292,0.0852,0.0,0.534,0.389,112.511,145543,-6.903,0
0.834,0.73,8,0.222,0.00513,0.0,0.124,0.446,155.008,312820,-3.714,1
0.596,0.854,7,0.463,0.0169,0.0,0.124,0.152,120.274,203418,-5.114,0
0.835,0.626,1,0.125,0.0589,6e-05,0.396,0.35,91.03,217925,-5.833,1
0.704,0.611,2,0.0409,0.217,0.0,0.0812,0.22,100.0,189467,-6.112,1
0.477,0.61,11,0.144,0.225,0.0,0.107,0.358,79.882,213993,-5.628,0
0.912,0.412,7,0.124,0.0164,0.013,0.104,0.422,154.983,238614,-8.074,1
0.487,0.833,10,0.0698,0.145,8.22e-06,0.961,0.371,144.915,213068,-5.199,0
0.729,0.625,4,0.0315,0.194,0.00986,0.248,0.261,146.034,183907,-5.266,1
0.676,0.578,10,0.375,0.0509,0.0,0.0796,0.698,158.896,203881,-4.669,0
0.743,0.87,1,0.212,0.0595,0.0,0.299,0.884,99.075,194184,-2.188,1
0.579,0.904,5,0.0618,0.193,0.0,0.064,0.681,82.014,190947,-2.729,1
0.74,0.613,8,0.145,0.258,0.00372,0.123,0.473,75.023,166606,-4.88,1
0.752,0.505,9,0.253,0.535,2.55e-06,0.104,0.419,91.97,197437,-7.621,1
0.553,0.502,0,0.0409,0.299,0.0,0.764,0.296,129.976,210200,-5.972,1
0.749,0.794,0,0.064,0.0193,0.0,0.543,0.46,135.959,269554,-5.063,1
0.699,0.713,9,0.0594,0.04,3.11e-06,0.294,0.354,121.993,205920,-5.507,0
0.362,0.882,3,0.0973,0.0791,0.0,0.15,0.864,199.811,185200,-3.717,1
0.533,0.907,11,0.0406,0.0292,0.0,0.386,0.7,150.99,183160,-3.793,1
0.892,0.651,0,0.378,0.0989,0.0,0.371,0.599,105.814,253580,-8.645,0
0.323,0.86,5,0.188,0.0387,1.47e-06,0.945,0.208,99.61,208294,-2.963,0
0.758,0.574,11,0.0572,0.46,0.00272,0.102,0.261,151.985,191147,-6.889,0
0.455,0.897,9,0.0403,0.0183,0.0,0.174,0.728,160.139,212067,-4.879,1
0.821,0.636,7,0.0899,0.288,0.0,0.104,0.4,142.008,162268,-6.038,0
0.85,0.785,8,0.345,0.0367,0.0,0.155,0.718,145.063,343099,-4.963,0
0.557,0.279,6,0.0372,0.868,1.25e-05,0.0978,0.263,102.727,191280,-7.757,1
0.544,0.854,4,0.0289,0.00245,1.2e-06,0.249,0.436,91.966,178987,-4.968,0
0.507,0.372,1,0.0303,0.481,0.0,0.271,0.257,86.422,199693,-8.433,1
